Title,Location,Company,Salary,Description
Machine Learning Engineer,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Technical Sales Engineer (AI & Machine Learning),United States,Lucd,"From $128,189 a year","Quickly learning, understanding, and articulating the integrate of multiple applications and platforms.
Lucd is seeking a Technical Sales Consultant (TSC) whose…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning & Artificial Intelligence Data Scientist (6...,"Houston, TX 77084",Aramco Services Company,None,"Develop machine learning algorithms and perform advanced statistical analyses.
Strong fundamental understanding of various modern machine-learning methods, or…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Nationwide Solutions Director (AI/Machine Learning),"Houston, TX",ePlus inc.,None,"Good understanding of supervised and unsupervised deep/machine learning algorithms, including regression, classification, k-nearest neighbor and random forest."
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Nationwide Solutions Director (AI/Machine Learning),"Houston, TX",ePlus inc.,None,"Good understanding of supervised and unsupervised deep/machine learning algorithms, including regression, classification, k-nearest neighbor and random forest."
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Nationwide Solutions Director (AI/Machine Learning),"Houston, TX",ePlus inc.,None,"Good understanding of supervised and unsupervised deep/machine learning algorithms, including regression, classification, k-nearest neighbor and random forest."
Machine Learning & Artificial Intelligence Data Scientist (6...,"Houston, TX 77084",Aramco Services Company,None,"Develop machine learning algorithms and perform advanced statistical analyses.
Strong fundamental understanding of various modern machine-learning methods, or…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Nationwide Solutions Director (AI/Machine Learning),"Houston, TX",ePlus inc.,None,"Good understanding of supervised and unsupervised deep/machine learning algorithms, including regression, classification, k-nearest neighbor and random forest."
Machine Learning & Artificial Intelligence Data Scientist (6...,"Houston, TX 77084",Aramco Services Company,None,"Develop machine learning algorithms and perform advanced statistical analyses.
Strong fundamental understanding of various modern machine-learning methods, or…"
Machine Learning Engineer,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Nationwide Solutions Director (AI/Machine Learning),"Houston, TX",ePlus inc.,None,"Good understanding of supervised and unsupervised deep/machine learning algorithms, including regression, classification, k-nearest neighbor and random forest."
Machine Learning & Artificial Intelligence Data Scientist (6...,"Houston, TX 77084",Aramco Services Company,None,"Develop machine learning algorithms and perform advanced statistical analyses.
Strong fundamental understanding of various modern machine-learning methods, or…"
Machine Learning Engineer,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow…"
NLP and Machine Learning Research Scientist,United States,Baidu USA,"$140,000 - $250,000 a year","Good knowledge of common machine learning models.
Collaborate with other researchers in developing machine learning algorithms."
NLP and Machine Learning Research Scientist,United States,Baidu USA,"$140,000 - $250,000 a year","Good knowledge of common machine learning models.
Collaborate with other researchers in developing machine learning algorithms."
Machine Learning Scientist,"Webster, TX 77598",Houston Mechatronics Inc.,None,"Extensive theoretical knowledge of machine learning domains, practical implementations of machine learning in real systems, creating and implementing learning…"
Machine Learning Engineer,"Houston, TX",Bill.com,None,"Drive the definition of the machine learning infrastructure and pipeline to build and scale machine learning at Bill.com (e.g feature storage, predictions and…"
Machine Learning Engineer (remote),"Houston, TX 77042 (West Houston area)",Grid Dynamics,None,"5+ years experience developing and deploying machine learning systems into production.
You'll be working in a team of ML engineers that takes on a wide array of…"
Machine Learning-Intern,"Spring, TX 77389",HP,None,"Work in all phases of building, deploying, and evaluating machine learning applications.
Experience in one or more deep learning frameworks such as Tensorflow,…"
Machine Learning & Artificial Intelligence Data Scientist (6...,"Houston, TX 77084",Aramco Services Company,None,"Develop machine learning algorithms and perform advanced statistical analyses.
Strong fundamental understanding of various modern machine-learning methods, or…"
Nationwide Solutions Director (AI/Machine Learning),"Houston, TX",ePlus inc.,None,"Good understanding of supervised and unsupervised deep/machine learning algorithms, including regression, classification, k-nearest neighbor and random forest."
Staff Software Engineer - Machine Learning Platform,Texas,Procore Technologies,None,"Hands-on experience developing systems for the machine learning lifecycle: data preprocessing and feature extraction, model training and evaluation, and…"
